timestamp;energy_used;solar_produced
1580893200;3.491;1.08
1580896800;1.392;2.65
1580900400;1.383;2.59
1580904000;1.727;2.33
1580907600;3.449;1.73
1580911200;2.155;1.11
1580914800;1.186;0.32
1580918400;2.209;0.02
1580922000;3.327;0
1580925600;3.177;0
1580929200;1.69;0
1580932800;1.755;0
1580936400;4.163;0
1580940000;3.451;0
1580943600;1.934;0
1580947200;1.593;0
1580950800;2.594;0
1580954400;3.493;0
1580958000;2.426;0
1580961600;1.66;0
1580965200;2.281;0
1580968800;4.981;0
1580972400;3.599;0.12
1580976000;1.56;1.16
1580979600;1.264;1.83
1580983200;3.019;1.2
1580986800;2.796;1.87
1580990400;1.886;2.66
1580994000;1.906;2.06
1580997600;1.898;1.79
1581001200;3.005;0.89
1581004800;2.457;0.07
1581008400;2.234;0
1581012000;3.228;0
1581015600;4.065;0
1581019200;2.542;0
1581022800;1.735;0
1581026400;2.075;0
1581030000;3.44;0
1581033600;3.035;0
1581037200;1.704;0
1581040800;1.816;0
1581044400;3.626;0
1581048000;3.638;0
1581051600;2.034;0
1581055200;2.357;0
1581058800;4.495;0.33
1581062400;4.528;1.85
1581066000;3.3;2.47
1581069600;1.876;2.65
1581073200;3.062;2.71
1581076800;4.298;2.42
1581080400;2.88;1.88
1581084000;1.634;1.62
1581087600;2.485;1.07
1581091200;4.492;0.06
1581094800;2.684;0
1581098400;1.707;0
1581102000;2.437;0
1581105600;3.66;0
1581109200;3.012;0
1581112800;2.017;0
1581116400;2.24;0
1581120000;3.559;0
1581123600;2.916;0
1581127200;1.666;0
1581130800;1.777;0
1581134400;3.525;0
1581138000;3.126;0
1581141600;1.688;0
1581145200;3.189;0.07
1581148800;3.076;0.39
1581152400;3.311;0.38
1581156000;2.458;0.47
1581159600;1.443;0.23
1581163200;2.196;0.27
1581166800;3.33;0.18
1581170400;2.256;0.39
1581174000;1.412;0.18
1581177600;1.922;0.03
1581181200;3.493;0
1581184800;3.395;0
1581188400;3.433;0
1581192000;3.418;0
1581195600;2.731;0
1581199200;1.745;0
1581202800;2.274;0
1581206400;3.264;0
1581210000;2.528;0
1581213600;1.432;0
1581217200;1.698;0
1581220800;3.24;0
1581224400;2.816;0
1581228000;1.473;0
1581231600;1.545;0.02
1581235200;5.042;0.25
1581238800;4.065;0.36
1581242400;1.89;0.58
1581246000;1.237;0.54
1581249600;2.998;0.49
1581253200;4.037;0.28
1581256800;2.205;0.1
1581260400;1.924;0.01
1581264000;2.588;0
1581267600;3.216;0
1581271200;1.912;0
1581274800;1.512;0
1581278400;2.185;0
1581282000;3.372;0
1581285600;2.276;0
1581289200;1.414;0
1581292800;1.691;0
